2016/01/19,Skiles-Denesik,"Lemke, Koepp and Hyatt",45118.91
2015/03/17,"White, Weissnat and Runolfsdottir","Flatley, Beier and Skiles",86223.86
2017/03/31,Kautzer-Kassulke,Welch-Labadie,57903.12
2017/07/17,DuBuque and Sons,Grady-Kessler,52514.24
2017/04/14,Cole-Volkman,Lehner Inc,33638.82
2017/03/16,Stracke-VonRueden,Hermiston-Becker,29195.76
2017/03/07,"Strosin, Daniel and VonRueden","Ritchie, Stehr and Stokes",93985.86
2017/07/14,Hilpert-Borer,"O'Conner, Olson and Mertz",46578.34
2017/04/07,"Corkery, Buckridge and Bosco",Fahey-Erdman,83974.78
2016/05/29,"Feeney, Mosciski and Carroll",Quitzon and Sons,53858.77
2015/12/08,Zieme Group,Hyatt LLC,72838.67
2017/08/28,"Hayes, Wilderman and Schowalter",Hermann LLC,37275.89
2015/10/22,"Corkery, Weimann and Nolan",McGlynn Group,49265.72
2014/11/05,"Crooks, Lehner and Willms","Morar, Pfannerstill and Zulauf",61282.61
2014/12/24,Gusikowski-Conn,Mills Group,98481.68
2015/06/14,"Price, Osinski and Hane",Jaskolski-Harber,15597.01
2017/04/16,Blanda-Corkery,Casper Group,93480.92
2015/12/25,Koch-Walker,Medhurst-Romaguera,54790.69
2015/06/26,"Smitham, Treutel and Mertz",Roberts LLC,15647.92
2016/02/15,Quitzon-Yundt,"Rolfson, Klein and Baumbach",77828.1
2017/07/24,Orn and Sons,Reynolds LLC,60272.5
2017/08/07,"Lind, McClure and Conn",Bode LLC,7311.34
2016/11/12,Stokes Inc,"Robel, Krajcik and Leuschke",11733.5
2017/02/22,"Yost, Bayer and Satterfield",Deckow-Strosin,59070.71
2016/02/08,Sanford and Sons,Kuvalis Inc,72151.0
2017/01/14,Durgan-Orn,Waters-Bruen,4405.16
2017/05/01,Schaefer LLC,Mitchell and Sons,30834.68
2017/06/23,Mann LLC,"Haag, Langworth and Cronin",80760.69
2016/05/19,Dickens and Sons,Koch Inc,55952.33
2015/05/08,"Streich, Thiel and Tromp",Gutmann-Bartell,64928.06
2015/02/20,"Hodkiewicz, Reynolds and Cole",Douglas Inc,91772.28
2014/09/01,"Bruen, Williamson and Schmeler",Heidenreich LLC,18967.83
2015/06/05,Kovacek Group,Weimann Inc,4879.1
2015/05/28,"Welch, Stanton and Bergstrom",Mertz-Kreiger,63441.97
2015/01/08,"Gulgowski, Daniel and Beatty",Grimes LLC,37897.69
2017/06/12,"Hermiston, Erdman and Wiza","Ruecker, Metz and Wolf",83945.68
2016/07/27,Towne LLC,Considine LLC,66076.88
2016/10/19,"Pacocha, Bauch and Russel","Leffler, Prosacco and Pfannerstill",83972.72
2017/01/23,Schuster-Hamill,Ziemann LLC,75651.14
2016/09/25,Sauer-Huels,"Bayer, Kerluke and Jaskolski",8445.37
2017/05/03,"Rodriguez, Ankunding and Lueilwitz","Olson, Auer and Bayer",57484.65
2016/02/12,Stiedemann-Hintz,"Torphy, Hagenes and Jacobson",40157.62
